STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
VARICOSS CIF                   | esp. C05C TERAPIA VARICOSA SISTEMICA          | app C05B TERAPIA VARICOSA TOPICA
MULTILAB MUL                   | esp. C09C ANTAGONISTAS DE LA ANGIOTENSINA II  | app OUTRA CATEGORIA
VIGORA                         | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
VITAMEDIC VMD                  | esp. H02A CORTICOSTEROIDES PUROS              | app OUTRA CATEGORIA
CARBOCISTEINA XAROPE NEO       | esp. R05C EXPECTORANTES                       | app INSUMO PARA DRINK
ALGESTONA ACETOFENIDA ENANTATO DE ESTRADIOL GER | esp. G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS | app G02F HORMONIOS SEXUAIS TOPICOS
SUL DE HIDROXICLOROQUINA GER   | esp. M01C ANTIREUMATICOS ESPECIFICOS          | app N05A9 ANTIPSICOTICOS CONVENCIONAIS
HEALTHLABS HEL                 | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
BOSPULMO SUN                   | esp. C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUR | app C06B1 PRODUTOS PARA A HAP ANTAGONISTAS DOS RECEPTORES D
CETIVA MAN                     | esp. A11B POLIVITAMINICOS PUROS               | app VITAMINA OUTRO
LUBIP                          | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N05A1 ANTIPSICOTICOS ATIPICOS
DISFORARTRO                    | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
ECOFILM                        | esp. S01X OUTROS OFTALMOLOGICOS               | app S01K1 LAGRIMAS ARTIFICIAIS E LUBRIFICANTES OCULARES
PROPOLIS VERDE                 | esp. R02A PREPARACOES PARA GARGANTA           | app EXTRATO DE PROPOLIS
LINAGLIPTINA HYP               | esp. A10N INIBIDOR DPP IV                     | app A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES
CASTANHADAINDIA                | esp. C05C TERAPIA VARICOSA SISTEMICA          | app VITAMINA OUTRO
MAL DEXCLO BETA XAROPE         | esp. H02B ASSOCIACOES CORTICOSTEROIDES SISTEM | app INSUMO PARA DRINK
CLOR DE TRAZODONA NEO          | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N05A1 ANTIPSICOTICOS ATIPICOS
CLOR DE LOPERAMIDA PHA         | esp. A07H INIBIDORES DA MOTILIDADE            | app A07B ADSORBENTES INTESTINALES ANTIDIARREICOS
CETOCONAZOL EMS                | esp. D01A ANTIMICOTICOS DERMATOLOGICOS        | app J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF
SABRIL SNF                     | esp. N03A ANTICONVULSIVANTES                  | app N02D PROD GABAPENTINOIDES
CAMOMILA CAT                   | esp. A02X OUTROS PRODUTOS PARA DESORDENS DO E | app ERVA CHA
