STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
MINAS MEL                      | esp. R02A PREPARACOES PARA GARGANTA           | app ESCRITA OUTROS
PENVIR                         | esp. D06D PRODUTOS PARA INFECOES VIRAIS       | app J05B3 ANTIVIRAL PARA HERPES
METFORMINA PRD                 | esp. A10J BIGUANIDA A DIABETICOS              | app A10P3 INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS
DELICY                         | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app OUTRA CATEGORIA
CETOCONAZOL GLO                | esp. D01A ANTIMICOTICOS DERMATOLOGICOS        | app J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF
NORFLOXACINO                   | esp. D07B ASSOCIACOES DE CORTICOIDES          | app J01G1 FLUOROQUINOLONAS ORAIS
BWELL                          | esp. N02B NAO NARCOTICOS ANTIPIRETICOS        | app VITAMINA OUTRO
HIPERPLUS HIP                  | esp. C09C ANTAGONISTAS DE LA ANGIOTENSINA II  | app OUTRA CATEGORIA
DIENOGESTE EUR                 | esp. G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS | app G03D PROGESTOGENOS E ASSOCIACOES EXCLUINDO G3A G3F
NEEDS                          | esp. R05C EXPECTORANTES                       | app VITAMINA OUTRO
MELDICA MDC                    | esp. R05C EXPECTORANTES                       | app OUTRA CATEGORIA
CETOCONAZOL BETAMETASONA NEOMICINA MED | esp. D07B ASSOCIACOES DE CORTICOIDES          | app J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF
LEVOLUKAST                     | esp. R06A ANTIHISTAMINICOS SISTEMICOS         | app R03J2 ANTIASMATICOS ANTAGONISTAS DE LEUCOTRIENE SISTEMIC
GELOFORT                       | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
KIN                            | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app OUTRA CATEGORIA
BALDONI                        | esp. R02A PREPARACOES PARA GARGANTA           | app OUTRA CATEGORIA
APIARIO SUL DE MINAS           | esp. R05C EXPECTORANTES                       | app OUTRA CATEGORIA
BOMVITAM                       | esp. A11D VITAMINA B1 E ASSOCIACOES           | app A12C1 MAGNESIO
CINARIZINA                     | esp. N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSO | app C04A2 ANTAGONISTAS DO CALCIO COM ATIVIDADE CEREBRAL
EMULVIT KES                    | esp. A11A POLIVITAMINICOS COM MINERAIS        | app MULTIVITAMINICO
LOPERAMIDA PHA                 | esp. A07H INIBIDORES DA MOTILIDADE            | app A07B ADSORBENTES INTESTINALES ANTIDIARREICOS
PIDOMAG BAL                    | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
APINIL                         | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
