barcode,descriptions
40141781963,"{""POLI STAR VITAMINA B12 C/60 CAPS"",""SUPL ALIM POLI STAR VITAMINA B12 60 CAPS"",""SUPL ALIM MULT POLISTAR B12 60CP""}"
40141781970,"{""POLI STAR MAG 5 C/60 CAPS"",""POLI STAR MAG 5 C/60 CAPS ."",""SUPL ALIM POLI MAGNESIO 60UN""}"
40141781987,"{""POLI STAR CALCIO STAR 500MG C/60 CAPS (CARBONATO DE CALCIO)"",""POLI STAR CALCIO STAR 500MG C60 CAPS CARBONATO DE CALCIO"",""SUPL ALIM POLI STAR CALCIO CPS CARBONATO 60UN""}"
40141785435,"{""Fortmagri 1500mg com 60 Cápsulas"",""FORTMAGRI BERB 1500MG + FENO GRE + MOROSIL + CROMO 60 CÁPS"",""FORTMAGRI 1500MG X 60 CPR (FRT)""}"
40141824677,"{""CREATINA DE CARAMELO DE LEITE"",""CREATINA DE CARAMELO DE LEITE C/60 TABL FULL PERFORMANCE"",""SUPL ALIM DESINCHA SNR CARAMELO DE CREATINA 40UN""}"
40141852502,"{""KOMBUCHA SHOTLY 100ML CURCUMA/GE 100ML"",""SUPL ALIM MULTI COSI IMUNO SHOT LIMAO SICILIANO 100ML""}"
40141863188,"{""MENO 30ML"",""NUTRI+PHYTUS FEMME GTS 30ML"",""SUPL ALIM VOGHIERA MENO 30ML""}"
40141863218,"{""NUTRI+ULTRA SHOT DTX 150G"",""SUPL ALIM GUDAY NUTRI+ULTRA SHOT X 150G""}"
40141863379,"{""NUTRI+ PREM CONDRO GTS 30ML"",""NUTRIMAIS PHYTUS CONDRO GTS 30ML""}"
40141912046,"{""N-DOP BALANCE 60 CAPS. BY INTE"",""N-DOP BALANCE CAPS A ST AN X 60"",""SUPLEMENTO ALIMENTAR N-DOP BALANCE 60CP""}"
40141912169,"{""Berberina 1500mg com 60 Cápsulas"",""BERBERINA 1500MG C/60 CPS - MTC FORTLIFE"",""BERBERINA 1500MG 60 CAPSULAS""}"
40141957603,"{""Amora Miura com 60 Cápsulas"",""AMORA MIURA 1000MG + VIT E + B6 + MAG 60CPS FORT LIFE"",""SUPL ALIM AMORA MIURA 60CPRS""}"
40232847981,"{""Vitalift 90 Cap"",""Multivitaminico Vitalift Essential Nutrition Com 90 Cápsulas"",""SUPL ALIM MULT ESSENTIAL NUTRITION VITALIFT VIT MIN 90 CAPS""}"
40232912108,"{""KRILL OIL 60X500MG ESSENTIAL NUTRITION"",""OLEO DE KRILL 60 CAPS ESSENTIAL"",""SUPL ALIM ESSENTIAL NUTRITION OLEO DE KRILL X 60CAPS""}"
40232912115,"{""Super Ômega 3 Tg Softgel 1000mg com 90 Cápsulas"",""SUPER OMEGA 3 TG CAPS SOFTGEL 1000.0 MG  X 90"",""SUPL ALIM ESSENTIAL NUTRITION 1000MG X 90 CPRS (ESS)""}"
40232912122,"{""Super Ômega 3 Tg Softgel 1000mg com 60 Cápsulas"",""SUPER OMEGA 3 TG CAPS SOFTGEL 1000.0 MG  X 60"",""SUPL ALIM ESSENTIAL NUTRITION 1000MG X 60 CPRS (ESS)""}"
40232912139,"{""Super Ômega 3 TG Essential Nutrition 500mg com 120 Cápsulas"",""Super Ômega 3 TG - 120 Cápsulas 500mg - Essential Nutrition"",""SUPL ALIM ESSENTIAL NUTRITION 500MG X 500 CPRS (ESS)""}"
40232912184,"{""Dha Tg Softgel 1000mg com 90 Cápsulas"",""DHA TG 1G 90 caps - Essential Nutrition"",""SUPL ALIM ESSENTIAL NUTRITION 1000MG X 90 CPRS (ESS)""}"
40232916762,"{""Suplemento Vitaminico Pó Frutas Vermelhas Berryki Essential"",""BERRYKI ESSENTIAL ZERO ACUCA LT 300GR FRUTAS VER LT 300GR"",""SUPL ALIM ESSENTIAL NUTRITION BERRYKI LATA 300G/20DS""}"
40232932540,"{""Essential Sachê Pó Cranberrylift Caixa 20 Unidades 5 Gramas"",""SUPL ALIM MULT ESSENTIAL NUTRITION CRANBERRYLIFT 100G/20DS""}"
40232940668,"{""Super Ômega 3 TG Essential Nutrition 1000mg com 180 Cápsulas"",""SUPER OMEGA 3 TG CAPS SOFTGEL 1000.0 MG  X 180"",""SUPL ALIM ESSENTIAL NUTRITION 1000MG X 180 CPRS (ESS)""}"
40232940675,"{""Super Ômega 3 Tg Softgel 1000mg com 240 Cápsulas"",""SUPER OMEGA 3 TG 500MG 240 CAP SUPER OMEGA 3 TG 500MG 24"",""SUPL ALIM ESSENTIAL NUTRITION SUPER OMEGA 3 500MG 240 CAPS""}"
40232940705,"{""KRILL OIL POTE 60 CAPS ESSENTI"",""Kril Oil 60 Caps - Ômega 3 - Essential Nutrition"",""SUPL ALIM ESSENTIAL NUTRITION KRILL OIL POTE 60 CAPS""}"
40232940712,"{""Gamalift IG 500mg (120 Caps) - Essential Nutrition, Essenti"",""SUPL ALIM ESSENTIAL NUTRITION GAMALIFT 500MG 120 CAPS""}"
