PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Ivermectina;IVERMECTINA;ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;SIM;;ECTOPARASITICIDAS INCL ESCAB
Levamisol;LEVAMISOL;ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;SIM;;
Mebendazol;MEBENDAZOL;ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;SIM;;
Praziquantel;PRAZIQUANTEL;ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;SIM;;
Artemeter+Lumefantrina;ARTEMETER + LUMEFANTRINA;ANTIMALARICOS 1 INGREDIENTE;P01D1 ANTIMALARICOS 1 INGREDIENTE;SIM;;
Cloroquina;CLOROQUINA;ANTIMALARICOS 1 INGREDIENTE;P01D1 ANTIMALARICOS 1 INGREDIENTE;SIM;;
Mefloquina;MEFLOQUINA;ANTIMALARICOS 1 INGREDIENTE;P01D1 ANTIMALARICOS 1 INGREDIENTE;SIM;;
Primaquina;PRIMAQUINA;ANTIMALARICOS 1 INGREDIENTE;P01D1 ANTIMALARICOS 1 INGREDIENTE;SIM;;
Quinina;QUININA;ANTIMALARICOS 1 INGREDIENTE;P01D1 ANTIMALARICOS 1 INGREDIENTE;SIM;;
Nitazoxanida;NITAZOXANIDA;AMEBICIDAS;P01A AMEBICIDAS;SIM;;
Pentamidina;PENTAMIDINA;AMEBICIDAS;P01A AMEBICIDAS;SIM;;
Bictegravir;BICTEGRAVIR;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;SIM;;
Dolutegravir;DOLUTEGRAVIR;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;SIM;;
Raltegravir;RALTEGRAVIR;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;SIM;;
Atazanavir;ATAZANAVIR;ANTINEOPLASICOS INIBIDORES DA PROTEASE;L01J ANTINEOPLASICOS INIBIDORES DA PROTEASE;;;
Darunavir;DARUNAVIR;ANTINEOPLASICOS INIBIDORES DA PROTEASE;L01J ANTINEOPLASICOS INIBIDORES DA PROTEASE;;;
Lopinavir/Ritonavir;LOPINAVIR + RITONAVIR;OUTROS ANTIVIRAIS;J05B OUTROS ANTIVIRAIS;;SIM;"ANTINEOPLASICOS INIBIDORES DA PROTEASE; ANTINEOPLASICOS INIBIDORES DA PROTEASE"
Abacavir;ABACAVIR;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Lamivudina;LAMIVUDINA;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Tenofovir;TENOFOVIR;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;SIM;;ANTIVIRAIS PARA HEPATITES INTERFERON E RIBAVIRINA
Zidovudina;ZIDOVUDINA;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Doravirina;DORAVIRINA;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
Efavirenz;EFAVIRENZ;INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;J05C1 INIBIDORES NUCLEOSIDOS DA TRANSCRIPTASE REVERSA;;;
